TranscriptId	GeneId	GeneName	ZT0.R1	ZT0.R2	ZT2.R1	ZT2.R2	ZT4.R1	ZT4.R2	ZT6.R1	ZT6.R2	ZT8.R1	ZT8.R2	ZT10.R1	ZT10.R2	ZT12.R1	ZT12.R2	ZT14.R1	ZT14.R2	ZT16.R1	ZT16.R2	ZT18.R1	ZT18.R2	ZT20.R1	ZT20.R2	ZT22.R1	ZT22.R2
ENSMUST00000000033	ENSMUSG00000048583	Igf2	0.884509583661339	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000000094	ENSMUSG00000061689	Dlgap4	1	1	1	1	1	1	0.776867979055639	1	1	0.148851166695445	1	1	0.237076936207338	1	1	1	1	1	1	1	1	1	0.516483573239953	1
ENSMUST00000000128	ENSMUSG00000000126	Wnt9a	0.560883953110102	0.626491833678948	0.660597973285418	0.412299725408383	0.42879072439905	0.621890547263682	0.536486442987586	0.579837877329499	0.754791036101655	0.516504914544262	0.369899091527831	0.507864278350254	0.988169279262127	0.747004511907252	1	0.764835904456699	0.796146650212969	1	0.948316737790422	1	0.895760366186838	0.783220288538354	0.715896222599693	0.526717758289221
ENSMUST00000000161	ENSMUSG00000000157	Itgb2l	1	0.47216359524248	1	1	1	1	1	1	0.464530754258586	0.5361269119626	0.534790816572098	1	1	1	1	1	1	1	1	1	1	1	1	0.275179623499239
ENSMUST00000000193	ENSMUSG00000035385	Ccl2	0.206793582781539	1	0.112826703824261	1	0.120243179806841	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.284916519459798
ENSMUST00000000199	ENSMUSG00000062661	Ncs1	0.785034109732068	1	1	0.768852257350228	0.761220388526886	1	1	0.862046671206779	1	0.655866727880895	0.900503381390197	0.942471537359572	1	0.898658303153392	1	0.909247961011447	1	0.897722478073128	0.927833138488374	1	1	0.878773232567336	0.822801474460242	0.860126266535927
ENSMUST00000000208	ENSMUSG00000000204	Slfn4	1	0.425466737010501	0.643807218366532	0.866430997435364	0.453042178226793	1	0.619782208531922	0.552272601756227	0.944643869261289	1	0.864274355251331	0.597575040485709	1	0.86604830817463	1	0.801018896035757	1	0.408956139454044	1	1	0.964264362717683	1	0.690169229495072	0.665685889456201
ENSMUST00000000275	ENSMUSG00000038257	Glra3	0.874454558968843	1	0.653044165376904	1	0.556898299232594	1	0.564006249189241	1	0.926526452330214	0.936382193756204	0.919743207696411	0.574095655818172	1	0.898254691135124	1	0.939293463456788	1	0.922824211216006	1	0.959159009380575	0.959904777446077	0.828061342784273	0.904690821911612	0.645611135500865
ENSMUST00000000310	ENSMUSG00000000301	Pemt	1	1	0.421244186830222	1	1	1	0.499612800079938	1	1	1	1	1	0.500558122306372	1	1	0.599577897160399	1	1	1	1	1	1	1	1
ENSMUST00000000314	ENSMUSG00000000305	Cdh4	0.684893978412142	0.660039866407931	0.817180400745269	0.735959728283668	0.601920125199386	0.750159408874386	0.687455315404499	0.726158404194291	0.692137320044297	0.594487908115949	0.52014251905022	0.590371048203796	0.771771679066465	0.878819569554175	0.844808650840585	0.91411020512633	0.707623940333149	0.749074892507753	0.945993245608226	0.95488183337312	0.971005767774261	0.935672514619883	0.620524467279745	0.854773912300197
ENSMUST00000000326	ENSMUSG00000000317	Bcl6b	0.308556265234966	0.290330541321294	0.374719896877084	0.300303005732784	0.401369343094855	0.385248080501439	0.229583168798729	0.544413582208399	0.46681417994753	0.354107810849761	0.269333426702255	0.409774263068269	0.394721780353118	0.567891419160656	0.554705007876811	0.528409961584596	0.574260496046217	0.568278683866568	0.750024375792213	0.845816170313544	0.788320247217229	0.549148819330038	0.654205779903176	0.231772269838547
ENSMUST00000000421	ENSMUSG00000000411	Tssk3	1	1	1	1	1	1	1	1	0.613034336053162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000000450	ENSMUSG00000000440	Pparg	1	1	1	1	1	0.079052695736451	1	1	1	1	1	0.192205675449185	1	1	1	0.232270771975138	1	1	1	1	0.436856728467332	1	0.0665245259295971	0.0989036530064238
ENSMUST00000000641	ENSMUSG00000000627	Sema4f	1	1	1	1	1	1	1	0.736241487207804	0.778058743435129	1	0.870807063986903	0.921268402336337	1	1	1	1	1	1	1	1	1	1	0.74584563978639	0.563180392311461
ENSMUST00000000834	ENSMUSG00000000817	Fasl	1	1	1	0.401529022517748	0.731373739294517	1	1	1	1	1	1	1	1	1	1	1	1	0.709889470209488	0.807382707477171	1	1	1	0.740702333953054	0.755635149124597
ENSMUST00000000881	ENSMUSG00000000861	Bcl11a	1	1	1	1	1	1	0.76202668617455	1	1	1	1	0.897601608502082	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000000895	ENSMUSG00000027489	Necab3	1	1	1	1	0.760236585625447	1	1	1	1	1	1	0.806920147182235	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000000924	ENSMUSG00000000901	Mmp11	1	0.549779813184819	0.756206565385401	1	0.493629708610383	0.482714011256891	1	0.72261122793326	0.564018973598272	0.651499752430094	1	0.710742156960298	0.807956758154304	1	1	1	1	1	1	1	0.924009461856889	0.66057179094224	0.718468225742717	1
ENSMUST00000000984	ENSMUSG00000000958	Slc7a7	0.214265359076602	0.12652270070296	0.167912014104609	1	1	1	1	0.115054673981076	1	1	1	1	1	0.603744422910893	0.533421525692248	1	1	1	1	1	1	1	1	1
ENSMUST00000001009	ENSMUSG00000000983	Wfdc18	1	1	1	1	1	1	1	1	1	1	1	1	0.909918107370337	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000001036	ENSMUSG00000032175	Tyk2	0.989893190524742	1	1	1	0.0335234672651723	0.863789097254014	0.0546602510108047	0.560349658186709	1	1	0.888375605205881	1	1	1	1	1	1	1	1	1	1	1	0.0854442331123745	0.651746027607962
ENSMUST00000001040	ENSMUSG00000001014	Icam4	1	0.408875877549852	0.50904315158796	1	1	1	1	0.573782719959606	1	0.612399872620827	1	0.549034248756437	1	0.920310328642818	1	1	1	1	1	1	1	1	1	1
ENSMUST00000001116	ENSMUSG00000001089	Luzp1	0.342780711227063	1	0.434606463346639	0.472076950249833	0.0621692208891069	1	0.0495795898677167	0.683196534364231	0.733266029782365	0.618225300385383	0.536807094121667	0.810595384861806	0.0756120226140437	1	1	0.100202208055857	0.0943787096731571	0.075375274648657	0.283023940995169	1	1	1	0.0435697193935792	0.0395871691650789
ENSMUST00000001125	ENSMUSG00000001098	Kctd10	1	1	1	1	0.490184064116076	1	1	1	1	0.0705748177758205	1	1	1	1	1	1	1	1	1	1	1	0.731941181206678	1	0.0492143180199702
ENSMUST00000001148	ENSMUSG00000001120	Pcbp3	1	1	0.433429554694476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000001155	ENSMUSG00000001127	Araf	0.0216998960791977	0.02159659758563	0.0290428268428908	1	0.0192030024278356	0.0222718438904101	0.0232384715685434	0.0230290686722222	0.0270705520849604	0.0197871378854831	0.0208831483434443	0.0201133912545366	0.0279701267857877	0.0403692331541209	0.0589771127518544	0.050411839522983	1	0.0655447159160923	1	1	0.124071480061093	1	0.010046139911385	0.0105449592774763
ENSMUST00000001162	ENSMUSG00000001134	Uxt	0.0387877283385083	1	0.0495590483671533	1	1	0.0707841825665637	1	0.0503905519730673	0.048868379373048	0.0419577133381892	1	0.043750713683517	0.322341488572994	0.243368216110976	0.456302218085082	0.086243698819755	0.541524065329463	0.614866235850391	0.827211964793859	1	1	0.369263946176087	0.0299910596651138	1
ENSMUST00000001171	ENSMUSG00000001143	Lman2l	1	1	1	1	1	1	1	1	1	1	1	0.0709585219056053	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000001172	ENSMUSG00000079610	Ankrd39	1	0.146807523591969	1	1	0.107137500267844	0.510717404738436	1	1	0.644620640752917	0.773185912552673	0.848997334148371	1	0.785120398213066	1	1	1	1	1	1	0.841127784132966	1	1	0.105421178693115	1
ENSMUST00000001179	ENSMUSG00000001151	Pcnt	1	1	1	1	0.626633162680235	1	1	1	1	0.543661451141145	1	1	1	1	1	1	1	1	1	1	1	1	0.870708495502791	0.268843221387016
ENSMUST00000001187	ENSMUSG00000029994	Anxa4	0.0386379687654159	0.00996832365791225	0.0093280232006593	0.153569020828566	0.00632114328242938	0.0120512375235044	0.00848280243290167	0.0117423263897043	0.0092811386843429	0.00576967059565848	0.00901772207831441	0.00890783605412793	0.329302668668827	0.0173666045058003	0.0601211200083689	0.198835618617377	0.506778157861396	0.361958193828613	0.48418412553926	1	0.0537398935412709	0.0177195693861126	0.00908173488744824	0.0191630352714827
ENSMUST00000001253	ENSMUSG00000020651	Slc26a4	1	1	1	1	0.820048546873975	0.799437196213865	1	1	1	0.7110554907705	1	0.896804684907674	0.767665911795187	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000001280	ENSMUSG00000001248	Gramd1a	1	0.521330226205185	1	1	1	1	0.254183220348892	1	1	0.206989625679961	1	0.32960332240149	1	1	1	1	1	0.636687189217066	1	1	1	1	1	0.28978619574478
ENSMUST00000001304	ENSMUSG00000001270	Ckb	0.0889863388172648	0.133950936450997	0.521994226743852	0.553250345781466	0.14460124038944	0.358754690717581	0.156646020721136	0.116931028232997	0.384744125919058	0.387544325382216	0.315870935135903	0.190284456233624	0.691366901500957	1	1	0.748727163821503	0.707578877355353	1	1	1	0.788413475563124	0.338504554578782	0.0751631039355401	0.0384325514486958
ENSMUST00000001347	ENSMUSG00000001313	Rnd2	1	0.315531532485835	0.403103966824785	1	0.099607744701366	1	1	0.0571650371772819	0.0598838612395121	0.046717947400263	0.14838622560345	1	1	0.129444811204743	1	0.149968656550781	1	1	1	1	1	0.0969149077418536	0.0357024529013241	0.030182966122337
ENSMUST00000001384	ENSMUSG00000001349	Cnn1	1	1	1	1	0.645861320657229	1	1	1	1	1	1	1	1	0.815906921338414	1	1	1	1	1	1	1	1	1	0.804997424008243
ENSMUST00000001402	ENSMUSG00000001366	Fbxo9	1	1	0.682514657002259	0.761197210973419	0.754660025658441	1	0.32015264878294	0.912134120201034	0.807610925360598	0.652954619653934	0.274521802146487	0.829414350527093	1	0.913617468365995	0.963651081216513	1	0.888107354417002	1	1	1	0.961575445209431	1	1	0.792619130655338
ENSMUST00000001412	ENSMUSG00000001376	Vps50	0.0491187120680746	0.0533180914682523	0.0694951179679627	1	0.0467479551275728	1	0.228622117360878	1	0.0568167613991468	0.0397975894600064	1	0.0474192769793162	0.269079050043322	1	1	1	1	0.263499056673377	1	1	1	1	0.0483383685800604	0.790517438924148
ENSMUST00000001561	ENSMUSG00000001520	Nrip2	0.889568914903838	1	1	1	1	1	0.892434829946543	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.846876296779329
ENSMUST00000001599	ENSMUSG00000001558	Klhl10	1	1	1	1	1	1	1	1	1	1	1	0.883727917848653	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000001703	ENSMUSG00000001657	Hoxc8	1	1	1	1	1	1	1	1	1	1	1	0.917658502564856	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000001854	ENSMUSG00000030495	Slc7a10	1	1	1	1	1	1	1	0.604222305470629	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000001920	ENSMUSG00000001864	Aif1l	0.871725580787168	1	1	1	0.705970391601776	1	1	1	1	0.889576828302776	1	0.874592221376783	1	1	1	0.911593648015461	1	1	1	1	1	1	1	0.784572172794175
ENSMUST00000002007	ENSMUSG00000001942	Siae	1	1	1	1	1	1	1	1	1	1	1	1	1	0.832542418036199	1	1	1	1	1	1	1	1	1	1
ENSMUST00000002008	ENSMUSG00000001943	Vsig2	1	0.729490378021914	0.496324715481857	1	1	1	1	1	1	1	1	0.520356340021647	1	1	1	1	1	1	1	1	1	1	0.41185991820462	1
ENSMUST00000002053	ENSMUSG00000001988	Npas1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.522307764627229	1
ENSMUST00000002080	ENSMUSG00000002006	Pdzd4	0.80391668207507	0.649468734575118	0.794066733368272	0.74773622856801	0.618406243429434	0.815348112876793	0.693601525923357	1	0.879275477006946	0.491881495910005	0.766618369709375	0.845634325383885	1	0.820533018248654	0.909868433024585	0.82969649702139	1	0.825177825821465	1	0.940229604069314	1	0.799878418480391	0.699188242450515	0.688207563401122
ENSMUST00000002081	ENSMUSG00000002007	Srpk3	1	1	1	1	1	1	1	1	1	1	1	0.919388055310385	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000002128	ENSMUSG00000002059	Rab34	1	1	1	1	1	0.320296209934948	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUST00000002172	ENSMUSG00000002103	Acp2	1	1	1	1	0.191728451160053	0.600024000960038	1	1	1	0.305578643719748	1	0.414025528814107	1	1	1	1	1	1	1	1	1	1	0.213802215846165	0.232876584725159
ENSMUST00000002284	ENSMUSG00000046223	Plaur	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.555410531694502	1	1	1	1	1	1	1	1
