Chr	Start	End	Strand	TranscriptId	GeneId	GeneName	RFP.ZT0.R1	RFP.ZT0.R2	RFP.ZT2.R1	RFP.ZT2.R2	RFP.ZT4.R1	RFP.ZT4.R2	RFP.ZT6.R1	RFP.ZT6.R2	RFP.ZT8.R1	RFP.ZT8.R2	RFP.ZT10.R1	RFP.ZT10.R2	RFP.ZT12.R1	RFP.ZT12.R2	RFP.ZT14.R1	RFP.ZT14.R2	RFP.ZT16.R1	RFP.ZT16.R2	RFP.ZT18.R1	RFP.ZT18.R2	RFP.ZT20.R1	RFP.ZT20.R2	RFP.ZT22.R1	RFP.ZT22.R2	RNA.ZT0.R1	RNA.ZT0.R2	RNA.ZT2.R1	RNA.ZT2.R2	RNA.ZT4.R1	RNA.ZT4.R2	RNA.ZT6.R1	RNA.ZT6.R2	RNA.ZT8.R1	RNA.ZT8.R2	RNA.ZT10.R1	RNA.ZT10.R2	RNA.ZT12.R1	RNA.ZT12.R2	RNA.ZT14.R1	RNA.ZT14.R2	RNA.ZT16.R1	RNA.ZT16.R2	RNA.ZT18.R1	RNA.ZT18.R2	RNA.ZT20.R1	RNA.ZT20.R2	RNA.ZT22.R1	RNA.ZT22.R2
chr7	142204503	142211233	-	ENSMUST00000000033	ENSMUSG00000048583	Igf2	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.0	0.000000	0.000000	0.013057	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000
chr2	156562990	156604823	+	ENSMUST00000000094	ENSMUSG00000061689	Dlgap4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028722	0.000000	0.000000	0.571812	0.000000	0.000000	0.321804	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093617	0.000000
chr11	59197754	59224378	+	ENSMUST00000000128	ENSMUSG00000000126	Wnt9a	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.086847	0.0	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.041610	0.000000	0.078290	0.059619	0.051378	0.142542	0.133214	0.060800	0.086398	0.072462	0.032487	0.093609	0.170344	0.096903	0.089084	0.033868	0.000000	0.030747	0.025605	0.000000	0.005450	0.000000	0.011637	0.027678	0.097808	0.089855
chr16	96223488	96244819	-	ENSMUST00000000161	ENSMUSG00000000157	Itgb2l	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.111791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.115271	0.086523	0.086989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.263399
chr11	81926397	81928279	+	ENSMUST00000000193	ENSMUSG00000035385	Ccl2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.383574	0.000000	0.786315	0.000000	0.731648	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.250980
chr2	31135835	31186001	+	ENSMUST00000000199	ENSMUSG00000062661	Ncs1	0.000000	0.0	0.000000	0.0	0.0	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.027383	0.000000	0.000000	0.030064	0.031368	0.000000	0.000000	0.016003	0.000000	0.052470	0.011049	0.006104	0.000000	0.011277	0.0	0.009981	0.0	0.011393	0.007778	0.0	0.0	0.013795	0.021536	0.016262
chr11	83066012	83081042	+	ENSMUST00000000208	ENSMUSG00000000204	Slfn4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.135036	0.055326	0.015416	0.120730	0.000000	0.061347	0.081070	0.005860	0.000000	0.015704	0.067343	0.000000	0.015467	0.000000	0.024841	0.000000	0.144525	0.000000	0.000000	0.003706	0.000000	0.044892	0.050221
chr8	56393544	56583105	+	ENSMUST00000000275	ENSMUSG00000038257	Glra3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014357	0.000000	0.053129	0.000000	0.079566	0.000000	0.077303	0.000000	0.007930	0.006794	0.008726	0.074187	0.000000	0.011327	0.000000	0.006463	0.000000	0.008363	0.000000	0.004258	0.004177	0.020764	0.010535	0.054892
chr11	59861440	59937303	-	ENSMUST00000000310	ENSMUSG00000000301	Pemt	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.137392	0.000000	0.000000	0.000000	0.100155	0.000000	0.000000	0.000000	0.000000	0.000000	0.099777	0.000000	0.000000	0.066784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr2	179084224	179541166	+	ENSMUST00000000314	ENSMUSG00000000305	Cdh4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046008	0.051506	0.022372	0.035877	0.066135	0.033305	0.045464	0.037711	0.044480	0.068212	0.092255	0.069385	0.029572	0.013789	0.018370	0.009396	0.041318	0.033498	0.005709	0.004725	0.002986	0.006875	0.061154	0.016990
chr11	70114954	70120565	-	ENSMUST00000000326	ENSMUSG00000000317	Bcl6b	0.000000	0.000000	0.000000	0.000000	0.060742	0.000000	0.000000	0.045629	0.000000	0.036124	0.000000	0.104781	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.077295	0.000000	0.224090	0.244435	0.166866	0.232997	0.300484	0.159573	0.335572	0.167497	0.114218	0.284414	0.271287	0.399741	0.153343	0.076090	0.080276	0.089247	0.074137	0.075970	0.033329	0.018229	0.026852	0.082100	0.171008	0.331458
chr4	129382807	129384815	-	ENSMUST00000000421	ENSMUSG00000000411	Tssk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0	0.063123	0.0	0.000000	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
